"愛","あい","love, affection, care; attachment, craving, desire; agape; Ireland"
"発見","はっけん","discovery, detection, finding"
"発行","はっこう","publication (of a newspaper, magazine, book, etc.), issue; issue (of banknotes, bonds, passport, etc.); raising (an event)"
"発車","はっしゃ","departure (of a train, car, etc.), starting, leaving"
"発達","はったつ","development, growth"
"発展","はってん","development, growth, expansion, extension, flourishing; development (of a situation, story, etc.), advancement, progression, unfolding; playing around (sexually; esp. of a male homosexual), having an active sex life"
"発表","はっぴょう","announcement, publication, presenting, statement, communique, making known, breaking (news story), expressing (one's opinion), releasing, unveiling"
"発明","はつめい","invention; intelligent, clever, smart"
"話し合う","はなしあう","to discuss, to talk together"
"放す","はなす","to release, to let go, to free, to set free, to let loose, to turn loose; to add (pieces of eggplant, potato, etc.) to water, broth, etc."
"離す","はなす","to separate, to part, to divide, to keep apart"
"離れる","はなれる","to be separated, to be apart, to be distant; to leave, to go away; to leave (a job, etc.), to quit, to give up; to lose connection with, to drift away from"
"羽","はね, は","feather, plume, down; wing; blade (of a fan, propeller, etc.); shuttlecock (in badminton); shuttlecock (in hanetsuki); arrow feathers"
"母親","ははおや","mother"
"幅","はば","width, breadth; freedom (e.g. of thought), latitude; gap, difference (e.g. in price), range (e.g. of voice)"
"省く","はぶく","to omit, to leave out, to exclude, to eliminate; to curtail, to save, to cut down, to economize, to economise"
"原","はら","field, plain, prairie, tundra, moor, wilderness"
"腹","はら","abdomen, belly, stomach; womb; one's mind, one's real intentions, one's true motive; courage, nerve, willpower; generosity, magnanimity; feelings, emotions; wide middle part, bulging part; inside, interior, inner part; anti-node; counter for hard roe; counter for containers with bulging middles (pots, vases, etc.)"
"針","はり, ち","needle, pin; hook; stinger, thorn; hand (e.g. clock, etc.), pointer; staple (for a stapler); needlework, sewing; malice; counter for stitches"
"張る","はる","to stick, to paste, to affix; to stretch, to spread, to strain, to tighten, to put up (e.g. a tent); to form (e.g. ice on a pond); to fill, to swell; to stick out, to push out; to post (a link, etc. online); to be expensive; to keep a watch on, to be on the lookout; to slap; to become one tile away from completion; to span, to generate"
"範囲","はんい","extent, scope, sphere, range, span"
"反抗","はんこう","opposition, resistance, insubordination, defiance, hostility, rebellion"
"","ハンサム","handsome"
"犯罪","はんざい","crime, offence, offense"
"判断","はんだん","judgment, judgement, decision, conclusion, adjudication; divination; judgement"
"犯人","はんにん","offender, criminal, culprit"
"販売","はんばい","sale, sales, selling, marketing"
"場","ば","place, spot, space; field, discipline, sphere, realm; occasion, situation; scene (of a play, movie, etc.); session; field, table, area in which cards are laid out; round (east, south, etc.); field; field (in Gestalt psychology)"
"","バイオリン, ヴァイオリン","violin"
"馬鹿","ばか, バカ","idiot, moron, fool; stupid, foolish, dull, absurd, ridiculous; trivial, insignificant, disappointing; malfunctioning, defective, losing sensation; incredibly, unusually, exceptionally; fervent enthusiast, nut, person singularly obsessed with something; Mactra chinensis (species of trough shell)"
"莫大","ばくだい","vast, huge, immense, enormous, colossal; malva nut (Scaphium affine)"
"爆発","ばくはつ","explosion, detonation, blast, blowing up, eruption; outburst (of emotion), explosion (e.g. of anger), eruption (e.g. of discontent)"
"","バッグ, バック","bag"
"罰する","ばっする","to punish, to penalize, to penalise"
"","ばったり, バッタリ, ばたり, バタリ, ばったん, バッタン","with a clash, with a thud, with a bang, with a flop, plump; unexpectedly (meeting someone); suddenly (ending), abruptly (coming to a halt)"
"場面","ばめん","scene, setting, place (where something happens), scenario, case; scene (in a movie, play), shot; state of the market"
"番","ばん","number (in a series); (one's) turn; watch, guard, lookout; rank, standing, position; bout, match; pieces (in a collection)"
"","パイプ","pipe, tube; (tobacco) pipe; cigarette holder; go-between, intermediary, mediator, connections (with), channel (of communication)"
"","パイロット","pilot"
"","パス","path (of a file, directory, etc.); path (in vector graphics), vector"
"","パスポート","passport"
"","パーセント","percent, per cent, percentage"
"灯","ひ","light, lamp"
"比較","ひかく","comparison"
"被害","ひがい","(suffering) damage, injury, harm"
"轢く","ひく","to run over (with a vehicle), to knock down"
"悲劇","ひげき","tragedy, tragic drama, tragic play; tragedy, calamity, disaster"
"飛行","ひこう","flight, flying, aviation"
"膝","ひざ, ヒザ","knee; lap, knee and thigh (while sitting)"
"非常","ひじょう","emergency; extreme, great, extraordinary, remarkable, unusual, terrible, severe"
"額","ひたい","forehead, brow"
"必死","ひっし","frantic, frenetic, desperate; inevitable death; brinkmate (inevitable checkmate)"
"引っ張る","ひっぱる","to pull, to draw, to pull tight; to string (lines), to run (cable), to stretch; to pull towards oneself (e.g. someone's sleeve); to drag, to haul, to tow; to lead (e.g. one's followers); to take someone somewhere (e.g. a suspect to the police); to tempt into joining, to strongly invite to join; to delay, to prolong; to lengthen the pronunciation (of a word); to quote, to cite, to reference; to pull the ball; to wear, to put on"
"日付","ひづけ","date, dating"
"否定","ひてい","denial, negation, repudiation, disavowal; negation; NOT operation"
"一言","ひとこと, いちげん, いちごん","single word, a few words, brief comment"
"人ごみ","ひとごみ","crowd of people"
"等しい","ひとしい","equal, identical, the same; no different (from), just like, equivalent"
"一人","ひとり, いちにん","one person; being alone, being by oneself; being single, being unmarried; by oneself, alone; just, only, simply"
"一人一人","ひとりひとり, ひとりびとり","each (person), individually, one by one, one at a time, in turn"
"批判","ひはん","criticism, judgement, judgment, comment"
"批評","ひひょう","criticism, critique, review, commentary"
"秘密","ひみつ","secret, secrecy, confidentiality, privacy; mystery; secret (e.g. to success); esoteric teachings"
"紐","ひも, ヒモ","string, cord; leash; man who is financially dependent on a woman, gigolo, pimp; restrictions, conditions; mantle (shellfish, etc.); small intestine (beef, pork), oviduct meat (chicken)"
"表","ひょう","table, chart, list; memorial to an emperor"
"評価","ひょうか","valuation, appraisal, evaluation, assessment, estimation, rating, judging; appreciation, recognition, acknowledgement, rating highly, praising"
"表現","ひょうげん","expression, representation, description; representation (of a group)"
"表情","ひょうじょう","facial expression, countenance; look, appearance, expression (vocal, etc.)"
"評判","ひょうばん","reputation, (public) estimation, popularity; rumour, rumor, talk (e.g. of the town); fame, notoriety"
"表面","ひょうめん","surface, face; outside, exterior; appearances, superficiality"
"費用","ひよう","cost, expense"
"広がる","ひろがる","to spread (out), to extend, to stretch, to reach to, to get around, to fill (e.g. a space)"
"品","ひん","elegance, grace, refinement, class, dignity; article, item; counter for items (of food, etc.), counter for dishes or courses (at a restaurant)"
"美人","びじん","beautiful woman, (a) beauty"
"吃驚","びっくり, ビックリ","to be surprised, to be amazed, to be frightened, to be astonished, to get startled, to jump; surprise (e.g. surprise party)"
"","ビデオ, ヴィデオ","video (esp. a televised image); videotape, VHS tape, videocassette; videocassette recorder, VCR; video (short film)"
"微妙","びみょう, ビミョー","subtle, delicate, fine; difficult, complex, tricky, delicate (situation, position, etc.), close (e.g. decision); doubtful, questionable, dicey; not great, iffy"
"秒","びょう","second (unit of time); arc second"
"平等","びょうどう","equality, impartiality, evenness"
"便","びん","flight (e.g. airline flight), trip (e.g. train trip), service; mail, post, letter; opportunity, chance"
"瓶","びん, ビン","bottle, jar, decanter, flagon, phial, vial"
"","ビール","beer"
"","ピクニック","picnic; outing, hike"
"","ぴったり, ピッタリ, ぴたり, ピタリ, ぴったし, ピッタシ","tightly, closely; exactly, precisely; suddenly (stopping); perfectly (suited), ideally"
"","ピン","pin (e.g. hairpin, safety pin); (bowling) pin; pin, flagstick"
"不","ふ","un-, non-"
"不安","ふあん","anxiety, uneasiness, worry, apprehension, fear, insecurity, suspense"
"風景","ふうけい","scenery, scene, landscape, view, sight; scene (e.g. of a crime)"
"夫婦","ふうふ","married couple, husband and wife, man and wife"
"笛","ふえ, ちゃく","flute, fife, pipe, recorder, flageolet, shakuhachi, clarinet; whistle"
"不可","ふか","wrong, bad, improper, unjustifiable, inadvisable; not allowed, not possible; failing grade"
"服装","ふくそう","attire, dress, clothes, clothing, costume, garb"
"含む","ふくむ, くくむ","to contain, to comprise, to have, to hold, to include, to embrace; to hold in the mouth; to bear in mind, to understand, to harbor (grudge, etc.), to harbour; to express (emotion, etc.), to imply"
"袋","ふくろ","bag, sack, pouch; skin of an orange (and other like fruits); dead end; plot of land surrounded by water"
"不幸","ふこう","unhappiness, sorrow, misfortune, disaster, accident; death (usu. of a relative), bereavement"
"節","ふし","joint, knuckle; tune, melody; node (of a plant stem), joint, knot (in wood), knob; (notable) point, part; node"
"不思議","ふしぎ","wonderful, marvelous, strange, incredible, amazing, curious, miraculous, mysterious; strangely enough, oddly enough, for some reason, curiously"
"不自由","ふじゆう","discomfort, inconvenience; poverty, want, destitution, lack; inability, disability, impairment (physical, mental, etc.), nonfluency (in a language)"
"夫人","ふじん, ぶにん, はしかし","wife, Mrs, madam; wife of a nobleman (aristocrat, etc.); consort of the emperor"
"婦人","ふじん","woman, lady, adult female"
"不正","ふせい","injustice, unfairness, wrongdoing, iniquity, impropriety, irregularity, dishonesty, illegality, fraud"
"防ぐ","ふせぐ","to defend against, to protect against; to prevent, to avert, to avoid"
"不足","ふそく","insufficiency, deficiency, shortage, lack, scarcity, deficit; dissatisfaction, discontent, complaint"
"双子","ふたご, そうし","twins, twin"
"再び","ふたたび","again, once more, a second time"
"普段","ふだん","usual, normal, everyday, habitual, ordinary; usually, normally, generally, habitually, always"
"縁","ふち","rim, brim, edge, brink"
"筆","ふで, ひつ","writing brush, paintbrush, pen; writing with a brush, drawing with a brush, penmanship, something drawn with a brush; writing (composing text), the written word; (land) lot, plot"
"不図","ふと","suddenly, casually, accidentally, incidentally, unexpectedly, unintentionally"
"船","ふね","ship, boat, watercraft, vessel, seaplane; tank, tub, vat, trough; counter for boat-shaped containers (e.g. of sashimi)"
"不平","ふへい","discontent, dissatisfaction, complaint, grievance"
"不満","ふまん","dissatisfaction, discontent, displeasure, complaint, unhappiness"
"不利","ふり","disadvantage, handicap, unfavorable position"
"振る","ふる","to wave, to shake, to swing; to sprinkle, to throw (dice); to cast (actor), to allocate (work); to turn down (someone), to reject, to jilt, to dump; to abandon, to give up, to ruin; to add kana indicating a reading of a word; to slightly change headings, to change directions; to extract by broiling, to prepare an infusion of, to decoct; to carry with great vigor (e.g. a portable shrine); to bring up a topic, to lead to a topic; to replace, to substitute; to set up a joke for someone else"
"震える","ふるえる","to shiver, to shake, to quake, to tremble, to quaver, to quiver"
"触れる","ふれる","to touch, to feel; to touch (with); to experience, to come in contact with, to perceive; to touch on (a subject), to allude to, to refer to, to mention, to bring up; to be in conflict with, to violate (law, copyright, etc.), to infringe; to proclaim, to make known, to spread (e.g. a rumour)"
"風呂","ふろ","bath, bathing, bathtub, bathroom; bathhouse, public bath; room for drying lacquerware; base (wooden joint connecting the blade of a hoe, spade, etc., to the handle)"
"雰囲気","ふんいき, ふいんき","atmosphere, mood, ambience, ambiance, aura, feel; a certain air, presence, special aura, something (about someone); (Earth's) atmosphere"
"分","ぶ","one-tenth, one percent (one-tenth of a wari), 3 mm (one-tenth of a sun), 2.4 mm (one-tenth of a mon, a traditional unit used to measure shoe sizes), 0.1 degree (one-tenth of a do, used to measure body temperature on any temperature scale); one-quarter of a ryō (obsolete unit of currency); thickness; advantageous circumstances; one-tenth of a monme of silver"
"無","ぶ","un-, non-; bad ..., poor ..."
"ＶＡＮ","ブイ・エー・エヌ, バン, ヴァン, ブイエーエヌ","value-added network, VAN"
"武器","ぶき","weapon, arms, ordnance; weapon (something used to gain an advantage), asset"
"無事","ぶじ","safety, security, peace, quiet; safely, without incident, successfully; good health; inaction, ennui"
"舞台","ぶたい","stage (of a theatre, concert hall, etc.), (stage) performance; setting (of a story), scene; sphere (of activity), stage (e.g. political stage), scene, arena, world"
"物価","ぶっか","prices of commodities, prices (in general), cost-of-living"
"物質","ぶっしつ","material, substance; matter"
"打つ","ぶつ","to hit (someone), to strike, to beat; to make (a speech), to give (an address); to gamble"
"物理","ぶつり","laws of nature, physical laws; physics"
"部分","ぶぶん","portion, section, part"
"","ブレーキ","brake; (a) stop (to a development, behavior, etc.), (the) brakes"
"文","ぶん","sentence; composition, text, writings; the literary arts (as opposed to the military arts), academia, literature; statement"
"分","ぶん","part, portion, share; amount, worth (as in ""two days' worth""), enough (for); one's means, one's place, one's lot, one's social position; one's duty, one's part; condition, state (of affairs), extent, rate (as in ""at this rate""); in proportion to, just as much as, to the same degree; content (e.g. alcohol), percentage; equivalent to (e.g. an old brother)"
"分析","ぶんせき","analysis"
"文明","ぶんめい","civilization, civilisation, culture; Bunmei era (1469.4.28-1487.7.20)"
"分野","ぶんや","field, sphere, realm, division, branch"
"","プラス","plus, addition; positive (number); plus sign, positive symbol; advantage, plus, asset, positive factor, positive effect; profit, gain; anode, plus terminal, positive pole; positive (test result)"
"","プラン","plan, scheme; (payment) plan, package, deal, offer"
"","プロ","professional, pro; program; production; proletarian, proletariat; propaganda"
"塀","へい","wall; fence"
"平均","へいきん, へいぎん","average, mean; balance, equilibrium"
"平和","へいわ","peace, harmony"
"減らす","へらす","to abate, to decrease, to diminish, to shorten"
"減る","へる","to decrease (in size or number), to diminish, to abate"
"変化","へんか","change, variation, alteration, mutation, transition, transformation, transfiguration, metamorphosis; variety, diversity; inflection, declension, conjugation; sidestepping"
"変更","へんこう","change, modification, alteration, revision, amendment"
"別に","べつに","(not) particularly, (not) especially, (not) specially; separately, apart, additionally, extra"
"","ベルト","belt (worn around the waist); (machine) belt; belt, zone, area"
"勉強","べんきょう","study; diligence, working hard; experience, lesson (for the future); discount, price reduction"
"","ベンチ","bench"
"弁当","べんとう","bento, Japanese box lunch"
"","ペンキ","paint"
"法","ほう","law, act, principle; method; mood; dharma, law"
"方","ほう","direction, way, side, area (in a particular direction); side (of an argument, etc.), one's part; type, category; field (of study, etc.); indicates one side of a comparison; way, method, manner, means; length (of each side of a square)"
"方向","ほうこう","direction, orientation, bearing, way; course (e.g. of action)"
"報告","ほうこく","report, information"
"宝石","ほうせき","gem, jewel, precious stone"
"放送","ほうそう","broadcasting, broadcast, program, announcement"
"豊富","ほうふ","abundant, plentiful, rich, ample"
"方法","ほうほう","method, way, manner, process, procedure, means, measure"
"方々","ほうぼう","here and there, this way and that way, everywhere, all over"
"訪問","ほうもん","call, visit"
"吠える","ほえる","to bark, to howl, to bay, to roar, to yelp, to yap; to howl (of the wind), to roar (of the sea); to yell, to shout, to cry, to moan"
"頬","ほお, ほほ","cheek (of the face)"
"他","ほか","another place, some other place, somewhere else, outside; another (person or thing), other, different, something else, someone else, the rest, et al.; beyond (one's expectations, imagination, etc.), outside; except, but, other than, apart from; besides, in addition to, as well as, on top of"
"誇り","ほこり","pride, boast, credit (to)"
"埃","ほこり, ホコリ","dust"
"保証","ほしょう","guarantee, security, assurance, pledge; warranty"
"保存","ほぞん","preservation, conservation, storage, maintenance; saving (e.g. to disk)"
"仏","ほとけ, ホトケ","Buddha, Shakyamuni; Buddhist image, figure of Buddha; the dead, dead person, departed soul; merciful person"
"程","ほど","extent, degree, measure; limit, bounds; (span of) time; (a) distance; the state of, the status of, the condition of; about, around, approximately, or so; as much as ..., to the extent of ..., like ...; the more ... the more ..."
"歩道","ほどう","footpath, walkway, sidewalk, pavement"
"骨","ほね","bone; frame; outline, core; backbone, spirit, fortitude; laborious, troublesome, difficult"
"炎","ほのお, ほむら","flame, blaze; flames (of intense emotion, e.g. love, jealousy, anger), passion"
"微笑む","ほほえむ, ほおえむ","to smile"
"略","ほぼ","almost, roughly, approximately, about, around"
"褒める","ほめる","to praise, to commend, to compliment, to speak well of, to speak highly of"
"堀","ほり","moat, fosse; canal, ditch"
"本当","ほんとう, ほんと, ホントー, ホント, ホントウ","truth, reality, actuality, fact; proper, right, correct, official; genuine, authentic, real, natural, veritable"
"本人","ほんにん","the person in question, the person themselves, said person"
"本物","ほんもの, ホンモノ","genuine article, real thing, real deal"
"","ホーム","platform"
"棒","ぼう","pole, rod, stick, baton; line, dash; spoken monotonously"
"冒険","ぼうけん","adventure, venture; venture which is unlikely to succeed, risky attempt, danger, hazard, risk"
"","ボウル, ボール","bowl"
"","ぼんやり, ボンヤリ","dimly, faintly, indistinctly, vaguely; absentmindedly, vacantly, carelessly; idly, aimlessly; absence of mind, fool, blockhead, dunce"
"","ボーイ","boy; bellboy, porter, waiter"
"","ボート","boat; rowboat, rowing boat"
"間","ま","time, pause; space; room"
"","まあ, まー, まぁ, ま","just (e.g. ""just wait here""), come now, now, now; tolerably, passably, moderately, reasonably, fairly, rather, somewhat; well..., I think..., it would seem..., you might say..., Hmmm, I guess so...; oh!, oh dear!, oh, my!, wow!, goodness gracious!, good heavens!"
"","マイク","mike, mic, microphone"
"迷子","まいご","lost child, lost person, stray child, missing child"
"任せる","まかせる","to leave (a matter, decision, etc. to someone), to entrust (to someone), to entrust (someone) with; to leave (to chance, one's imagination, etc.), to let (take its own course), to let (happen), to give (oneself to something); to use (money, strength, spare time, etc.) to the full, to use freely, to use without reserve"
"幕","まく","curtain; act (in a play); falling of the curtain, end (of a scene); end, close; case, occasion, role (to play), part, place; makuuchi, top division"
"負け","まけ","defeat, loss, losing (a game); failing to live up to (one's name, looks, etc.); discount, loss (on a sale)"
"孫","まご","grandchild"
"真逆","まさか","by no means, never!, well, I never!, you don't say!, certainly (not); something unexpected, emergency; currently, for the time being, presently, for now; indeed, really, truly, unexpectedly"
"正に","まさに","exactly, just, precisely, really, truly, surely, certainly, without doubt; right (when), just (as); just (about to), on the point of, on the verge of, on the brink of; really (ought to), certainly (should), naturally"
"真面目","まじめ, マジメ","serious, earnest, sober, grave; honest, sincere"
"増す","ます","to increase, to grow"
"","マスター, マスタ","to master (a skill); proprietor, manager, owner, barkeeper; leader, chief, head; master (of arts, science, etc.); master (recording); master (device); master (data)"
"益々","ますます","increasingly, more and more, decreasingly (when declining), less and less"
"先ず","まず","first (of all), firstly, to begin with, before anything else; probably, most likely, almost certainly, virtually; more or less (satisfactory), on the whole, reasonably; anyway, at any rate, for now (at least), for the time being"
"貧しい","まずしい","poor, needy; lacking (quantity and quality-wise), poor, scanty, skimpy, slight, inadequate"
"又","また","again, once more, once again, another time, some other time; also, too, as well, likewise; on the other hand, while; and, in addition, besides, moreover, furthermore; or, otherwise; really, how, (what, why) on earth; some time (in the future); indirect"
"未だ","まだ, いまだ","still, as yet, only; (not) yet; more, (more) still; at least, comparatively, relatively; unfinished, incomplete, not yet done"
"町","まち","town, block, neighbourhood, neighborhood; downtown, main street; street, road"
"間違い","まちがい","mistake, error, blunder; accident, mishap, trouble; improper conduct (e.g. between man and woman), indiscretion"
"真っ赤","まっか","bright red, deep red, flushed (of face); downright (e.g. lie), complete, utter"
"真っ直ぐ","まっすぐ","straight (ahead), direct, upright, erect; straightforward, honest, frank"
"全く","まったく","really, truly, entirely, completely, wholly, perfectly; indeed; good grief"
"松","まつ, マツ","pine tree (Pinus spp.); highest (of a three-tier ranking system)"
"祭り","まつり","festival, feast, matsuri; harassment by an Internet pitchfork mob, online shaming, flaming; galore (as in ""goals galore""), frenzy, mania"
"学ぶ","まなぶ","to learn, to study, to take lessons in"
"真似","まね, マネ","imitating, copying, mimicry; behavior, behaviour, action, conduct"
"招く","まねく","to invite, to ask; to beckon, to wave someone in, to gesture to; to call in, to send for, to summon; to bring on oneself, to cause, to incur, to lead to, to result in"
"","ママ","mom, mommy, mum, mummy, mother, mama, mamma; female proprietress (of a bar, etc.)"
"豆","まめ, マメ","legume (esp. edible legumes or their seeds, e.g. beans, peas, pulses), bean, pea; soya bean (Glycine max), soybean, soy; female genitalia (esp. the clitoris); kidney; small, miniature, baby, midget, small-scale; child"
"守る","まもる","to protect, to guard, to defend; to keep (i.e. a promise), to abide (by the rules), to observe, to obey, to follow"
"丸","まる, マル","circle; entirety, whole, full, complete; money, dough, moola; enclosure inside a castle's walls; soft-shelled turtle; suffix for ship names, suffix for names of people (esp. infants), suffix for names of swords, armour, musical instruments, etc., suffix for names of dogs, horses, etc."
"丸い","まるい, まろい","round, circular, spherical; curved, smooth; harmonious, calm, peaceful, amiable, amicable"
"丸で","まるで","quite, entirely, completely, at all; as if, as though, just like"
"回す","まわす","to turn, to rotate, to spin, to twist, to gyrate; to pass around, to send around, to hand around, to circulate; to move (someone or something to where its needed), to send, to bring, to transfer, to forward, to direct, to submit; to turn (to a new use), to use (for something else); to turn on (something that turns or has a rotating part, e.g. a washing machine), to start up (e.g. an engine), to give (something) a spin; to put (someone in a position), to make (e.g. an enemy of); to ... around (e.g. chase, fool, play), to do all over, to do everywhere, to do completely; to surround (something) with, to enclose with; to put (an arm) around (e.g. someone's waist), to reach around; to invest (money), to lend; to dial (a telephone number); to gang-rape; to operate (e.g. business, shop)"
"回り","まわり","rotation; making the rounds; spreading; effect, efficacy; by way of, via; round, turn; size; 12-year period, 12-year age difference"
"万一","まんいち, ばんいち, まんいつ, ばんいつ","(unlikely event of) emergency, the worst(-case scenario), 10000 to 1; (if) by some chance, by some possibility, in the unlikely event that"
"満足","まんぞく","satisfaction, contentment, gratification; sufficient, satisfactory, enough, adequate, proper, decent; satisfying (an equation)"
"","マーケット","market"
"実","み","fruit, nut; seed; (in broth) pieces of meat, vegetable, etc.; content, substance"
"身","み","one's body, one's person; oneself, one's appearance; one's place (in society, etc.), one's position; main part, meat (as opposed to bone, skin, etc.), wood (as opposed to bark), blade (as opposed to its handle), container (as opposed to its lid)"
"見送り","みおくり","seeing (someone) off, send-off; deferment, postponement, shelving; letting a pitch go by; wait-and-see attitude"
"味方","みかた","friend, ally, supporter; taking sides (with), supporting, standing by, backing up"
"見事","みごと","splendid, magnificent, excellent, fine, superb, beautiful, admirable; utter (esp. defeat), total, complete; something worth seeing, sight, spectacle"
"","ミス","mistake, error, blunder"
"満ちる","みちる","to fill, to become full (of), to be filled (with), to brim (with); to wax (of the moon); to rise (of the tide), to flow, to come in; to expire (of a period of time), to mature, to come to an end"
"密","みつ","dense, thick, crowded; close (relationship), intimate; minute, fine, careful; secret; esoteric Buddhism, secret Buddhist teachings"
"認める","みとめる","to recognize, to recognise, to observe, to notice; to deem, to judge, to assess; to approve, to deem acceptable, to allow; to admit, to accept, to confess (to a charge); to watch steadily, to observe carefully; to renown, to give renown to, to appreciate, to acknowledge"
"皆","みな, みんな","everyone, everybody, all; everything, all"
"見舞い","みまい","visit (to someone affected by illness or misfortune), call, inquiry (about someone's health), expression of sympathy; letter of inquiry, letter of sympathy, get-well letter, gift (in token of one's sympathy)"
"土産","みやげ","local specialty or souvenir bought as a gift while travelling; present brought by a visitor; something unpleasant that one is given (e.g. an illness while on vacation), unwelcome gift, disservice"
"都","みやこ","capital (esp. Kyoto, Japan's former capital), seat of government; capital (of music, fashion, etc.), city (e.g. of light); location of the Imperial Palace"
"妙","みょう","strange, weird, odd, curious; wonder, mystery, miracle, excellence; cleverness, adroitness, knack, skill"
"未来","みらい","(distant) future; future existence, world beyond the grave, the world to come; future (tense)"
"魅力","みりょく","charm, fascination, glamour, glamor, attraction, appeal"
"見る","みる","to see, to look, to watch, to view, to observe; to examine, to look over, to assess, to check, to judge; to look after, to attend to, to take care of, to keep an eye on; to experience, to meet with (misfortune, success, etc.); to try ..., to have a go at ..., to give ... a try; to see (that) ..., to find (that) ..."
"","ミルク","milk; infant formula, formula, baby milk; condensed milk"
"無","む","nothing, naught, nought, nil, zero; un-, non-"
"向い","むかい","facing, opposite, across the street, other side"
"迎え","むかえ","meeting, greeting, welcome; person sent to meet a visitor"
"向く","むく","to turn toward, to look (up, down, etc.); to face (e.g. east) (of a building, window, etc.), to look out on, to front (on); to point (of an arrow, compass needle, etc.); to be suited to, to be fit for; to go towards, to turn to (of one's interests, feelings, etc.), to be inclined (to do)"
"向ける","むける","to turn (towards), to face, to point, to aim, to direct to; to head to, to go towards; to allot, to allocate; to send, to dispatch (e.g. a person); to aim for, to pursue"
"無視","むし","disregarding, ignoring"
"虫歯","むしば","tooth decay, decayed tooth, dental cavity, dental caries"
"寧ろ","むしろ","rather, better, instead, if anything"
"結ぶ","むすぶ","to tie, to bind, to link; to bear (fruit); to close (e.g. deal), to confirm, to conclude; to connect (two distant places); to close tightly, to purse (e.g. lips); to unite (with), to ally, to join hands"
"無駄","むだ, ムダ","futility, waste, uselessness, pointlessness, idleness"
"夢中","むちゅう","absorbed in, immersed in, crazy about, obsessed with, devoted to; forgetting oneself, daze, trance, ecstasy, delirium; within a dream, while dreaming"
"胸","むね, むな","chest, breast; breasts, bosom, bust; heart; lungs; stomach; heart, mind, feelings"
"無料","むりょう","free (of charge), gratuitous"
"芽","め","sprout, shoot, bud; germinal disk (in an egg)"
"明確","めいかく","clear, precise, definite, distinct"
"命じる","めいじる","to order, to command; to appoint"
"名人","めいじん","master, expert; Meijin (professional title)"
"命令","めいれい","order, command, decree, directive; (software) instruction, statement"
"迷惑","めいわく","trouble, bother, annoyance, nuisance, inconvenience; to be troubled (by), to be bothered (by), to be inconvenienced (by)"
"飯","めし","cooked rice; meal, food; one's living, livelihood"
"滅多に","めったに","rarely, seldom"
"","メモ","note, memo, memorandum"
"面","めん","face; mask, face guard; striking the head (in kendo); surface (esp. a geometrical surface); page; aspect, facet, side; chamfer; counter for broad, flat objects, levels or stages, e.g. in a video game"
"綿","めん","cotton"
"免許","めんきょ","license, licence, permission, permit, certificate"
"面倒","めんどう","trouble, bother; trouble, difficulty; care, attention"
"","メンバー, メンバ","member, participant, attendee, lineup (sport)"
"申し込む","もうしこむ","to apply for, to make an application, to propose (marriage), to offer (mediation), to make an overture (of peace), to challenge, to lodge (objections), to request (an interview), to subscribe for, to book, to reserve"
"申し訳","もうしわけ","apology, excuse"
"毛布","もうふ","blanket"
"燃える","もえる","to burn, to get fired up"
"目的","もくてき","purpose, goal, aim, objective, intention"
"目標","もくひょう","goal, target, aim, objective; mark, sign, landmark"
"木曜","もくよう","Thursday"
"若しも","もしも","if, in case, supposing"
"文字","もじ, もんじ","letter (of an alphabet), character; writing"
"持ち上げる","もちあげる","to elevate, to raise, to lift up; to flatter, to extol, to praise to the sky"
"用いる","もちいる","to use, to make use of, to utilize, to utilise"
"勿論","もちろん","of course, certainly, naturally"
"最も","もっとも, もとも","most, extremely"
"尤も","もっとも","but then, although, though; reasonable, natural, just"
"元","もと","origin, source, beginning; basis, base, foundation, root; cause; (raw) material, ingredient, base, mix (e.g. for a cake), (soup) stock; (one's) side; capital, principal, cost price; root (of a plant), (tree) trunk; part (of a brush, chopsticks, etc.) one holds (with the hand); first three lines of a waka; counter for plants or trees; counter for falcons (in falconry)"
"基づく","もとづく","to be based (on), to be founded (on), to be grounded (on), to be in accordance (with); to be due to, to come (from), to arise (from), to originate (in)"
"求める","もとめる","to want, to wish for; to request, to demand, to require, to ask for; to seek, to search for, to look for, to pursue (pleasure), to hunt (a job), to find (a solution); to purchase, to buy"
"戻す","もどす","to put back, to return, to give back, to restore (to a previous state, e.g. defrosting, reconstituting, reconciling), to turn back (e.g. clock hand); to vomit, to throw up; to recover (of a market price)"
"者","もの, もん","person"
"物音","ものおと","noise, sound"
"物語","ものがたり","story, tale, narrative, account, fable, legend"
"物事","ものごと","things, everything"
"模様","もよう","pattern, figure, design; state, condition; conjecture of the current situation, the way it seems; model, pattern, example; indicates that something seems likely (e.g. rain or storm); framework, territorial framework, moyo"
"貰う","もらう","to receive, to take, to accept; to get someone to do something; to have in one's pocket (a fight, match); to contract (a disease), to catch, to be affected"
"文句","もんく","complaint, grumbling, objection; phrase, words, expression"
"軈て","やがて","before long, soon, shortly; almost, nearly; finally, in the end, eventually"
"訳","やく","translation, version (e.g. ""English version"")"
"約","やく","approximately, about; promise, appointment, engagement; shortening, reduction, simplification; contraction (in phonetics)"
"役","やく","role, assignment, responsibility, duty, function, job, service; position (of responsibility), post, office; part (in a play, film, etc.), role, character; scoring combination, hand, yaku, meld"
"役割","やくわり","part, assigning (allotment of) parts, role, duties"
"家賃","やちん","rent"
